API NAME,Permissions,Protection Levels
notification.setNotificationsShownFromListener,['EXCEPTION::Disallowed call from unknown notification listener: android.service.notification.INotificationListener$Stub$Proxyclass android.service.notification.INotificationListener$Stub$Proxy '],[]
notification.setNotificationPolicy,['10148::android.permission.MANAGE_NOTIFICATIONS'],[]
notification.getBlockedChannelCount,['10148::android.permission.STATUS_BAR_SERVICE'],[]
notification.areBubblesAllowed,[],[]
notification.setHideSilentStatusIcons,['EXCEPTION::Disallowed call for uid 10148 '],[]
notification.getPopulatedNotificationChannelGroupForPackage,['10148::android.permission.STATUS_BAR_SERVICE'],[]
notification.addAutomaticZenRule,[],[]
notification.setInterruptionFilter,['10148::android.permission.MANAGE_NOTIFICATIONS'],[]
notification.setNotificationAssistantAccessGranted,['10148::android.permission.STATUS_BAR_SERVICE'],[]
notification.requestHintsFromListener,['EXCEPTION::Disallowed call from unknown notification listener: android.service.notification.INotificationListener$Stub$Proxyclass android.service.notification.INotificationListener$Stub$Proxy '],[]
notification.createNotificationChannelGroups,[],[]
notification.deleteNotificationChannel,[],[]
notification.applyAdjustmentFromAssistant,['EXCEPTION::Disallowed call from unknown notification assistant: android.service.notification.INotificationListener$Stub$Proxyclass android.service.notification.INotificationListener$Stub$Proxy '],[]
notification.areNotificationsEnabledForPackage,[],[]
notification.areBubblesAllowedForPackage,[],[]
notification.getBackupPayload,['EXCEPTION::Disallowed call for uid 10148 '],[]
notification.hasUserApprovedBubblesForPackage,['10148::android.permission.STATUS_BAR_SERVICE'],[]
notification.areNotificationsEnabled,['EXCEPTION::Caller not system or systemui or same package: uid 10148 does not have android.permission.STATUS_BAR_SERVICE. '],[]
notification.canShowBadge,['EXCEPTION::Disallowed call for uid 10148 '],[]
notification.updateNotificationChannelGroupForPackage,['10148::android.permission.STATUS_BAR_SERVICE'],[]
notification.shouldHideSilentStatusIcons,['EXCEPTION::Only available for notification listeners '],[]
notification.applyAdjustmentsFromAssistant,['EXCEPTION::Disallowed call from unknown notification assistant: android.service.notification.INotificationListener$Stub$Proxyclass android.service.notification.INotificationListener$Stub$Proxy '],[]
notification.updateNotificationChannelForPackage,['10148::android.permission.STATUS_BAR_SERVICE'],[]
notification.getNotificationChannels,[],[]
notification.removeAutomaticZenRule,['EXCEPTION::Notification policy access denied '],[]
notification.getHistoricalNotifications,['10148::android.permission.ACCESS_NOTIFICATIONS'],[]
notification.setNotificationsEnabledWithImportanceLockForPackage,['10148::android.permission.STATUS_BAR_SERVICE'],[]
notification.getNotificationChannelGroup,[],[]
notification.getNotificationPolicy,[],[]
notification.registerListener,"['10148::android.permission.ACCESS_WIFI_STATE', '10148::android.permission.STATUS_BAR_SERVICE']",['normal']
notification.canNotifyAsPackage,[],[]
notification.finishToken,[],[]
notification.getInterruptionFilterFromListener,[],[]
notification.requestUnbindListener,['EXCEPTION::Disallowed call from unknown notification listener: android.service.notification.INotificationListener$Stub$Proxyclass android.service.notification.INotificationListener$Stub$Proxy '],[]
notification.getAllowedNotificationAssistant,['1010148::android.permission.STATUS_BAR_SERVICE'],[]
notification.unregisterListener,[],[]
notification.requestInterruptionFilterFromListener,['EXCEPTION::Disallowed call from unknown notification listener: android.service.notification.INotificationListener$Stub$Proxyclass android.service.notification.INotificationListener$Stub$Proxy '],[]
notification.getAllowedNotificationAssistantForUser,['10148::android.permission.STATUS_BAR_SERVICE'],[]
notification.getZenRules,['1010148::android.permission.MANAGE_NOTIFICATIONS'],[]
notification.unsnoozeNotificationFromAssistant,['EXCEPTION::Disallowed call from unknown notification assistant: android.service.notification.INotificationListener$Stub$Proxyclass android.service.notification.INotificationListener$Stub$Proxy '],[]
notification.setNotificationPolicyAccessGrantedForUser,['EXCEPTION::Disallowed call for uid 10148 '],[]
notification.cancelNotificationsFromListener,['EXCEPTION::Disallowed call from unknown notification listener: android.service.notification.INotificationListener$Stub$Proxyclass android.service.notification.INotificationListener$Stub$Proxy '],[]
notification.getNotificationChannelGroups,[],[]
notification.removeAutomaticZenRules,['10148::android.permission.STATUS_BAR_SERVICE'],[]
notification.setShowBadge,['EXCEPTION::Disallowed call for uid 10148 '],[]
notification.getNumNotificationChannelsForPackage,['10148::android.permission.STATUS_BAR_SERVICE'],[]
notification.getAppActiveNotifications,[],[]
notification.isSystemConditionProviderEnabled,['10148::android.permission.STATUS_BAR_SERVICE'],[]
notification.getEffectsSuppressor,[],[]
notification.getActiveNotifications,['10148::android.permission.ACCESS_NOTIFICATIONS'],[]
notification.getHintsFromListener,[],[]
notification.setOnNotificationPostedTrimFromListener,['EXCEPTION::Disallowed call from unknown notification listener: android.service.notification.INotificationListener$Stub$Proxyclass android.service.notification.INotificationListener$Stub$Proxy '],[]
notification.getEnabledNotificationListenerPackages,['EXCEPTION::Disallowed call for uid 1010148 '],[]
notification.setNotificationListenerAccessGrantedForUser,['EXCEPTION::Disallowed call for uid 10148 '],[]
notification.isNotificationListenerAccessGrantedForUser,['EXCEPTION::Disallowed call for uid 10148 '],[]
notification.getZenMode,[],[]
notification.enqueueToast,[],[]
